"CR","HD","HP","INIT","NAME","URL"
"17","24d12+168","324","+3","Black Dragon, Wyrm","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon/chromatic-black/black-dragon-wyrm"
"5","6d12+12","51","+6","Black Dragon, Very Young","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon/chromatic-black/black-dragon-very-young"
"15","20d12+120","250","+4","Black Dragon, Very Old","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon/chromatic-black/black-dragon-very-old"
"14","18d12+108","225","+4","Black Dragon, Old","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon/chromatic-black/old-black-dragon"
"12","16d12+80","184","+5","Black Dragon, Mature Adult","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon/chromatic-black/black-dragon-mature-adult"
"8","10d12+40","105","+6","Black Dragon, Juvenile","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon/chromatic-black/black-dragon-juvenile"
"19","26d12+208","377","+3","Black Dragon, Great Wyrm","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon/chromatic-black/black-dragon-great-wyrm"
"16","22d12+154","297","+4","Black Dragon, Ancient","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon/chromatic-black/ancient-black-dragon"
"11","14d12+70","161","+5","Black Dragon, Adult","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon/chromatic-black/adult-black-dragon"
"5","6d12+18","57","+4","Dragon, Rope","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon-rope"
"10","11d12+33","104","+6","Vortex Dragon, Young","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon-outer/outer-dragon-vortex/vortex-dragon-young"
"19","25d12+175","337","+4","Vortex Dragon, Ancient","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon-outer/outer-dragon-vortex/vortex-dragon-ancient"
"14","17d12+85","195","+5","Vortex Dragon, Adult","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon-outer/outer-dragon-vortex/vortex-dragon-adult"
"9","10d12+30","95","+2","Void Dragon, Young","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon-outer/outer-dragon-void/void-dragon-young"
"18","24d12+168","324","+4","Void Dragon, Ancient","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon-outer/outer-dragon-void/void-dragon-ancient"
"13","16d12+80","184","+5","Void Dragon, Adult","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon-outer/outer-dragon-void/void-dragon-adult"
"1/2","1d8+1","5","-1","Zhen Worm","http://www.d20pfsrd.com/bestiary/monster-listings/vermin/zhen-worm"
"1/2","1d8+2","10","+2","Wyvaran","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/wyvaran"
"1/2","1d6+2","8","+3","Wayang","http://www.d20pfsrd.com/bestiary/monster-listings/humanoids/wayang"
"2","1d12+5","17","+1","Trox","http://www.d20pfsrd.com/bestiary/monster-listings/monstrous-humanoids/trox"
"2","3d8+6","19","+4","Flytrap, Giant (3pp)","http://www.d20pfsrd.com/bestiary/monster-listings/plants/flytrap-giant-jbe"
"11","13d12+65","149","+9","Time Dragon, Young","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon-outer/outer-dragon-time/time-dragon-young"
"20","27d12+243","418","+14","Time Dragon, Ancient","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon-outer/outer-dragon-time/time-dragon-ancient"
"15","19d12+133","256","+11","Time Dragon, Adult","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon-outer/outer-dragon-time/time-dragon-adult"
"9","11d12+44","115","+6","Solar Dragon, Young","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon-outer/outer-dragon-solar/solar-dragon-young"
"18","25d12+200","362","+4","Solar Dragon, Ancient","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon-outer/outer-dragon-solar/solar-dragon-ancient"
"13","17d12+102","212","+5","Solar Dragon, Adult","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon-outer/outer-dragon-solar/solar-dragon-adult"
"9","10d12+40","105","+0","Lunar Dragon, Young","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon-outer/outer-dragon-lunar/lunar-dragon-young"
"18","24d12+192","348","+2","Lunar Dragon, Ancient","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon-outer/outer-dragon-lunar/lunar-dragon-ancient"
"13","16d12+96","200","+3","Lunar Dragon, Adult","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon-outer/outer-dragon-lunar/lunar-dragon-adult"
"6","6d12+18","57","+2","Occult Dragon, Young","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon-esoteric/esoteric-dragon-occult/occult-dragon-young"
"15","20d12+140","270","+0","Occult Dragon, Ancient","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon-esoteric/esoteric-dragon-occult/occult-dragon-ancient"
"1/2","1d8+3","11","+2","Samsaran","http://www.d20pfsrd.com/bestiary/monster-listings/humanoids/samsaran"
"2","3d12+3","22","+3","Crystal Dragon, Wyrmling","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon/-primal-crystal/crystal-dragon-wyrmling"
"10","12d12+60","138","+1","Occult Dragon, Adult","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon-esoteric/esoteric-dragon-occult/occult-dragon-adult"
"6","7d12+35","80","+5","Nightmare Dragon, Young","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon-esoteric/esoteric-dragon-nightmare/nightmare-dragon-young"
"15","21d12+189","325","+3","Nightmare Dragon, Ancient","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon-esoteric/esoteric-dragon-nightmare/nightmare-dragon-ancient"
"10","13d12+91","175","+4","Nightmare Dragon, Adult","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon-esoteric/esoteric-dragon-nightmare/nightmare-dragon-adult"
"7","8d12+32","84","+5","Etheric Dragon, Young","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon-esoteric/esoteric-dragon-etheric/etheric-dragon-young"
"16","22d12+176","319","+3","Etheric Dragon, Ancient","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon-esoteric/esoteric-dragon-etheric/etheric-dragon-ancient"
"11","14d12+84","175","+4","Etheric Dragon, Adult","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon-esoteric/esoteric-dragon-etheric/etheric-dragon-adult"
"10","11d12+33","104","+5","Dream Dragon, Young","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon-esoteric/esoteric-dragon-dream/dream-dragon-young"
"19","25d12+175","337","+3","Dream Dragon, Ancient","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon-esoteric/esoteric-dragon-dream/dream-dragon-ancient"
"14","17d12+85","195","+4","Dream Dragon, Adult","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon-esoteric/esoteric-dragon-dream/dream-dragon-adult"
"9","10d12+30","95","+6","Astral Dragon, Young","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon-esoteric/esoteric-dragon-astral/astral-dragon-young"
"18","24d12+192","348","+4","Astral Dragon, Ancient","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon-esoteric/esoteric-dragon-astral/astral-dragon-ancient"
"13","16d12+80","184","+5","Astral Dragon, Adult","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon-esoteric/esoteric-dragon-astral/astral-dragon-adult"
"13","16d12+80","184","+5","Cetus","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/cetus"
"1/2","1d10","5","-1","Quasi-Elemental, Obsidian (Small)","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/elemental/quasi-elemental-obsidian/obsidian-quasi-elemental-small"
"1/2","1d10","10","+2","Nagaji","http://www.d20pfsrd.com/bestiary/monster-listings/humanoids/nagaji"
"1/2","1d6-1","5","+2","Kitsune","http://www.d20pfsrd.com/bestiary/monster-listings/humanoids/kitsune"
"1/2","1d8+2","10","+3","Kasatha","http://www.d20pfsrd.com/bestiary/monster-listings/humanoids/kasatha"
"4","6d8+18","45","+3","Xulgath","http://www.d20pfsrd.com/bestiary/monster-listings/humanoids/xulgath"
"6","9d8+36","76","+0","Tenebrous Blight","http://www.d20pfsrd.com/bestiary/monster-listings/plants/tenebrous-blight"
"2","3d12+3","22","+7","White Dragon, Wyrmling","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon/chromatic-white/white-dragon-wyrmling"
"4","5d12+10","42","+4","Amphiptere","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/amphiptere"
"1/2","1d8+10","18","+3","Wyrwood","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/wyrwood"
"13","14d10+80","157","+3","Wickerman","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/wickerman"
"10","13d10+40","111","+0","Tiberolith","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/tiberolith"
"8","9d10+30","79","+1","The Scarecrow","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/the-scarecrow"
"3","6d10+30","63","+0","Taxidermic Grizzly Bear","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/taxidermic-grizzly-bear"
"3","4d10+20","42","+9","Tattoo Guardian","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/tattoo-guardian"
"12","15d10+50","132","+1","Soulbound Shell","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/soulbound-shell"
"1/2","2d8","9","+1","Isitoq","http://www.d20pfsrd.com/bestiary/monster-listings/undead/isitoq"
"2","3d10+9","25","+7","Shotalashu","http://www.d20pfsrd.com/bestiary/monster-listings/magical-beasts/shotalashu"
"2","3d10+6","22","+2","Death Dog","http://www.d20pfsrd.com/bestiary/monster-listings/magical-beasts/death-dog"
"7","10d10+30","85","+7","Soulbound Mannequin","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/soulbound-mannequin"
"5","4d10+30","52","+0","Skinstitch","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/skinstitch"
"6","8d10+20","64","+7","Ship in a Bottle, Bottled Armada","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/bottled-armada"
"2","3d10+3","19","+6","Ship in a Bottle","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/ship-in-a-bottle"
"8","10d10+10+40","105","+5","Robot, Torturer","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/robot/robot-torturer"
"7","10d10+30","85","+3","Robot, Terraformer","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/robot/robot-terraformer"
"3","2d10+20","31","+6","Robot, Security Mannequin","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/robot/security-mannequin"
"1/2","1d6+1","4","+5","Gremlin, Haniver","http://www.d20pfsrd.com/bestiary/monster-listings/fey/gremlins/gremlin-haniver"
"2","2d10+20","31","+1","Robot, Mannequin","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/robot/robot-mannequin"
"20","26d6+46","137","+9","Pendula (3pp)","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/pendula"
"4","3d10+30","46","-4","Living Wall","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/living-wall"
"11","15d10+60","142","+0","Juggernaut","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/juggernaut"
"1/3","1d10","5","+2","Ioun Wyrd","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/ioun-wyrd"
"1/2","1d6+1","7","+3","Gathlain","http://www.d20pfsrd.com/bestiary/monster-listings/fey/gathlain"
"2","3d10+3","19","+3","Psyche Serpent","http://www.d20pfsrd.com/bestiary/monster-listings/magical-beasts/psyche-serpent"
"3","3d10+9","25","-2","Orc, Floodslain","http://www.d20pfsrd.com/bestiary/monster-listings/undead/orc-floodslain"
"19","22d8+220","319","+9","Tzitzimitl","http://www.d20pfsrd.com/bestiary/monster-listings/undead/tzitzimitl"
"12","16d10+80+16","184","+4","Giant Bog Turtle","http://www.d20pfsrd.com/bestiary/monster-listings/magical-beasts/giant-bog-turtle"
"6","6d10+30","63","+3","Turtle-Shark","http://www.d20pfsrd.com/bestiary/monster-listings/magical-beasts/turtle-shark"
"12","14d10+98","175","+3","Turtle-Shark, Stygian","http://www.d20pfsrd.com/bestiary/monster-listings/magical-beasts/turtle-shark/turtle-shark-stygian"
"3","5d6+10","27","+3","Twigjack","http://www.d20pfsrd.com/bestiary/monster-listings/fey/twigjack"
"7","9d10+10","59","+4","Tupilaq","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/tupilaq"
"7","9d10+54+9","112","+1","Tunnel Worm","http://www.d20pfsrd.com/bestiary/monster-listings/magical-beasts/tunnel-worm"
"4","5d10+10","37","+3","Tumblespark","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/elemental/tumblespark"
"3","4d10+8+4","33","+6","Tsathar Scourge","http://www.d20pfsrd.com/bestiary/monster-listings/monstrous-humanoids/tsathar/tsathar-scourge"
"2","2d10+2","13","+6","Tsathar","http://www.d20pfsrd.com/bestiary/monster-listings/monstrous-humanoids/tsathar"
"3","4d10+8","30","+5","Trollhound, Rock","http://www.d20pfsrd.com/bestiary/monster-listings/magical-beasts/trollhound/trollhound-rock"
"3","4d10+8","30","+5","Scraghound","http://www.d20pfsrd.com/bestiary/monster-listings/magical-beasts/trollhound/scraghound"
"2","4d8+8","26","+0","Bloodbrush","http://www.d20pfsrd.com/bestiary/monster-listings/plants/bloodbrush"
"7","13d10+80","151","-2","Haunted Chain","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/haunted-chain"
"3","5d10","27","+2","Guardian Scroll","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/guardian-scroll"
"14","19d10+19","123","+10","Gray Goo","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/gray-goo"
"7","8d10+36","80","+5","Wood Golem, Advanced","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/golem/golem-wood/wood-golem-advanced"
"1/2","1d10+1","6","+0 (+4 with hive mind)","Formian Worker 2","http://www.d20pfsrd.com/bestiary/monster-listings/monstrous-humanoids/formian/formian-worker"
"1/2","1d8+1","5","+2","Flea, Giant","http://www.d20pfsrd.com/bestiary/monster-listings/vermin/flea-giant"
"1/2","2d8+3","12","+1","Exoskeleton Giant Cockroach","http://www.d20pfsrd.com/bestiary/monster-listings/undead/exoskeleton-giant-cockroach"
"1/2","1d8+3","7","+0","Ectoplasmic Human","http://www.d20pfsrd.com/bestiary/monster-listings/undead/ectoplasmic-human"
"3","4d10+8","30","+5","Trollhound","http://www.d20pfsrd.com/bestiary/monster-listings/magical-beasts/trollhound"
"7","10d8+40+10","95","+0","Troll, Two-Headed (3pp)","http://www.d20pfsrd.com/bestiary/monster-listings/humanoids/giants/troll/troll-two-headed-TOHC"
"8","9d8+63","103","+0","Troll, Two-Headed","http://www.d20pfsrd.com/bestiary/monster-listings/humanoids/giants/troll/troll-two-headed"
"3","4d8+20","38","+2","Troll, Swamp","http://www.d20pfsrd.com/bestiary/monster-listings/humanoids/giants/troll/troll-swamp-TOHC"
"5","6d8+36","63","+2","Troll, Scrag","http://www.d20pfsrd.com/bestiary/monster-listings/humanoids/giants/troll/troll-scrag"
"6","8d8+56","92","+1","Troll, Rock (3pp)","http://www.d20pfsrd.com/bestiary/monster-listings/humanoids/giants/troll/troll-rock-TOHC"
"6","7d8+49","80","+1","Troll, Rock","http://www.d20pfsrd.com/bestiary/monster-listings/humanoids/giants/troll/troll-rock"
"13","14d10+44","121","+3","Stone Golem, Fiend-Infused","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/golem/golem-stone/stone-golem-fiend-infused"
"11","15d10+30","112","+0","Golem, Robot","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/golem/golem-robot"
"10","14d10+30","107","-2","Golem, Lead","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/golem/golem-lead"
"5","6d8+36","63","+2","Troll, River","http://www.d20pfsrd.com/bestiary/monster-listings/humanoids/giants/troll/troll-river-fgg"
"14","18d8+126","207","+1","Troll, Mountain","http://www.d20pfsrd.com/bestiary/monster-listings/humanoids/giants/troll/troll-mountain"
"3","4d8+12","30","+4 (+8 when climbing trees)","Troll, Moss","http://www.d20pfsrd.com/bestiary/monster-listings/humanoids/giants/troll/troll-moss"
"3","4d8+12","30","+4","Merrow, Freshwater","http://www.d20pfsrd.com/bestiary/monster-listings/humanoids/giants/merrow-freshwater"
"15","16d8+144","216","+3","Troll, Jotund","http://www.d20pfsrd.com/bestiary/monster-listings/humanoids/giants/troll/troll-jotund"
"3","2d8+6+3","18","+1","Troll, Ice (3pp)","http://www.d20pfsrd.com/bestiary/monster-listings/humanoids/giants/troll/troll-ice-TOHC"
"4","6d8+18","45","+4","Troll, Ice","http://www.d20pfsrd.com/bestiary/monster-listings/humanoids/giants/troll/troll-ice"
"6","6d8+30","57","+3","Troll, Fire-Infused","http://www.d20pfsrd.com/bestiary/monster-listings/humanoids/giants/troll/troll-fire-infused"
"4","5d8+25+5","52","+6","Troll, Cave","http://www.d20pfsrd.com/bestiary/monster-listings/humanoids/giants/troll/troll-cave-TOHC"
"5","6d8+36","63","+2","Troll","http://www.d20pfsrd.com/bestiary/monster-listings/humanoids/giants/troll"
"2","3d10+9","25","-1","Troglodyte, Stone","http://www.d20pfsrd.com/bestiary/monster-listings/humanoids/troglodyte/troglodyte-stone"
"2","3d8+6+3","22","+1","Troblin (3pp)","http://www.d20pfsrd.com/bestiary/monster-listings/humanoids/troblin"
"1/2","1d10+3","13","+2","Triaxian","http://www.d20pfsrd.com/bestiary/monster-listings/humanoids/triaxian"
"2","3d10+3","19","+0","Triton","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/triton"
"2","2d8+4","13","+0","Tri-Flower Frond","http://www.d20pfsrd.com/bestiary/monster-listings/plants/tri-flower-frond"
"14","21d8+105","199","-1","The Horror Tree (Undead Treant)","http://www.d20pfsrd.com/bestiary/unique-monsters/cr-14/the-horror-tree"
"8","12d8+84","138","+3","Treant, Lightning","http://www.d20pfsrd.com/bestiary/monster-listings/plants/treant/treant-lightning-TOHC"
"1","3d8+6","19","+1","Water Strider, Giant","http://www.d20pfsrd.com/bestiary/monster-listings/vermin/water-strider-giant"
"1","2d8+2","11","+0","Trollkin","http://www.d20pfsrd.com/bestiary/monster-listings/humanoids/trollkin-kp"
"1","2d8+4","13","-1","Troglodyte","http://www.d20pfsrd.com/bestiary/monster-listings/humanoids/troglodyte"
"4","4d10+20","42","-1","Golem, Junk","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/golem/golem-junk"
"5","8d6+24","52","+10","Fear Eater","http://www.d20pfsrd.com/bestiary/monster-listings/fey/fear-eater"
"11","12d8+108","162","+5","Treant, Advanced Lightning","http://www.d20pfsrd.com/bestiary/monster-listings/plants/treant/lightning-treant-advanced"
"8","12d8+60","114","-1","Treant","http://www.d20pfsrd.com/bestiary/monster-listings/plants/treant"
"7","10d8+40","85","+10","Totenmaske","http://www.d20pfsrd.com/bestiary/monster-listings/undead/totenmaske"
"10","14d10+30","107","-1","Tophet","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/tophet"
"20","31d10+10+31","211","+8","Tome of Horrors","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/tome-of-horrors"
"9","15d6+30","82","+8","Tombstone Fairy","http://www.d20pfsrd.com/bestiary/monster-listings/fey/tombstone-fairy"
"5","7d10+14","52","+1","Tojanida (3pp)","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/tojanida-f-foes"
"5","6d10+18","51","+1","Tojanida","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/tojanida"
"12","14d8+112","175","-1","Tobongo","http://www.d20pfsrd.com/bestiary/monster-listings/plants/tobongo"
"22","23d10+345","471","+4","Titan, Thanatotic","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/titan/thanatotic-titan"
"24","24d10+384","516","+6","Titan, Hekatonkheires","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/titan/titan-hekatonkheires"
"21","21d10+294","409","+7","Titan, Elysian","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/titan/elysian-titan"
"12","13d10+19","110","+6","Time Flayer (3pp)","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/time-flayer"
"5","4d10+8","30","+6","Tigrilla","http://www.d20pfsrd.com/bestiary/monster-listings/magical-beasts/tigrilla-tohc"
"17","21d12+147","283","+5","Dragon, Prism","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon-prism"
"5","7d8+21","52","+7","Derro Magister","http://www.d20pfsrd.com/bestiary/monster-listings/humanoids/derro/derro-magister"
"2","3d8+6","19","+4","Dark Empath","http://www.d20pfsrd.com/bestiary/monster-listings/humanoids/dark-empath"
"1/2","1d8+2","10","+3","Tiefling","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/tiefling"
"9","13d10+65","136","+2","Thundershrike","http://www.d20pfsrd.com/bestiary/monster-listings/magical-beasts/thundershrike"
"11","14d10+70","147","+7","Thunderbird","http://www.d20pfsrd.com/bestiary/monster-listings/magical-beasts/thunderbird"
"1","1d10","5","+4","Quasi-Elemental, Acid (Small)","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/elemental/quasi-elemental-acid/acid-quasi-elemental-small"
"5","6d10+30+6","69","+0","Thunder Beast","http://www.d20pfsrd.com/bestiary/monster-listings/magical-beasts/thunder-beast"
"11","15d10+30","112","+1","Golem, Crystal","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/golem/golem-crystal"
"11","13d10+30","101","-1","Golem, Clay (Armored)","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/golem/golem-clay/golem-clay-armored"
"1/2","1d10+10","15","+1","Robot, Arachnid","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/robot/robot-arachnid"
"1/2","1d6+2","5","+1","Alpluachra","http://www.d20pfsrd.com/bestiary/monster-listings/fey/alpluachra"
"4","5d10+15","42","+3","Thriae Soldier","http://www.d20pfsrd.com/bestiary/monster-listings/monstrous-humanoids/thriae/thriae-soldier"
"11","14d10+56","133","+5","Thriae Seer","http://www.d20pfsrd.com/bestiary/monster-listings/monstrous-humanoids/thriae/thriae-seer"
"18","25d10+175","312","+4","Thriae Queen","http://www.d20pfsrd.com/bestiary/monster-listings/monstrous-humanoids/thriae/thriae-queen"
"17","18d10+180","279","+5","Thrasfyr","http://www.d20pfsrd.com/bestiary/monster-listings/magical-beasts/thrasfyr"
"17","34d8+204","357","+5","Thorny Advanced Tyrannosaurus","http://www.d20pfsrd.com/bestiary/monster-listings/plants/thorny-advanced-tyrannosaurus-tohc"
"3","4d8+8","26","+2","Thorny (3pp)","http://www.d20pfsrd.com/bestiary/monster-listings/plants/thorny-fgg"
"2","3d10+6","22","+1","Thoqqua","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/elemental/thoqqua"
"1","2d8+2","11","+1","Pickled Punk","http://www.d20pfsrd.com/bestiary/monster-listings/undead/pickled-punk"
"6","8d10+20","64","+4","Golem, Blood","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/golem/golem-blood"
"7","10d8+40","85","+6","Cerebric Cyst","http://www.d20pfsrd.com/bestiary/monster-listings/oozes/cerebric-cyst"
"7","12d6+24","66","+10","Thin Man (3pp)","http://www.d20pfsrd.com/bestiary/monster-listings/fey/thin-man-3pp"
"4","7d6+14","38","+7","Thin Man","http://www.d20pfsrd.com/bestiary/monster-listings/fey/thin-man"
"22/MR 8","30d10+200","365","+6","Devastator","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/devastator"
"6","8d10+30","74","+3","Cutlass Spider","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/cutlass-spider"
"17/MR 6","18d10+138","237","+9","Colossus, Wood","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/colossus/colossus-wood"
"19/MR 7","21d10+150","265","+11M","Colossus, Stone","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/colossus/colossus-stone"
"14/MR 4","18d10+100","199","+5","Colossus, Sphinx","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/colossus/colossus-sphinx"
"1","2d8+6","15","+3","Leaf Ray","http://www.d20pfsrd.com/bestiary/monster-listings/plants/leaf-ray"
"21/MR 8","23d10+183","309","-1","Colossus, Iron","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/colossus/colossus-iron"
"18/MR 7","19d10+169","273","+1","Colossus, Gold","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/colossus/champion-of-the-gilded-host"
"2","3d8+3","16","+2","Thermite, Worker","http://www.d20pfsrd.com/bestiary/monster-listings/vermin/thermite-worker"
"4","5d8+15","37","+2","Thermite, Soldier","http://www.d20pfsrd.com/bestiary/monster-listings/vermin/thermite-soldier"
"6","9d8+27","67","+2","Thermite, Queen","http://www.d20pfsrd.com/bestiary/monster-listings/vermin/thermite-queen"
"4","5d8+15","37","+2","Therianthrope, Wolfwere, Dire","http://www.d20pfsrd.com/bestiary/monster-listings/magical-beasts/therianthrope-wolfwere-dire-tohc"
"2","3d8+6","19","+2","Therianthrope, Wolfwere","http://www.d20pfsrd.com/bestiary/monster-listings/magical-beasts/therianthrope-wolfwere-tohc"
"2","3d8","13","+7","Therianthrope, Owlwere","http://www.d20pfsrd.com/bestiary/monster-listings/magical-beasts/therianthrope-owlwere-tohc"
"6","5d8+10","32","+7","Therianthrope, Lionwere","http://www.d20pfsrd.com/bestiary/monster-listings/magical-beasts/therianthrope-lionwere-tohc"
"2","3d8+6","19","+3","Therianthrope, Jackalwere","http://www.d20pfsrd.com/bestiary/monster-listings/magical-beasts/therianthrope-jackalwere-tohc"
"2","3d8","13","+3","Therianthrope, Foxwere","http://www.d20pfsrd.com/bestiary/monster-listings/magical-beasts/therianthrope-foxwere-tohc"
"2","3d8+3","16","+1","Therianthrope, Asswere","http://www.d20pfsrd.com/bestiary/monster-listings/magical-beasts/therianthrope-asswere-tohc"
"2","3d8+6","19","-1","Thawn","http://www.d20pfsrd.com/bestiary/monster-listings/humanoids/giants/thawn"
"4","6d10+10","43","+7","Sentinel, Marble","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/sentinel-marble"
"3","4d10+10","32","+7","Sentinel, Bronze","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/sentinel-bronze"
"11","14d10+70","147","+8","Tetrolimulus","http://www.d20pfsrd.com/bestiary/monster-listings/magical-beasts/tetrolimulus"
"7","10d10+30","85","+7","Terra-cotta Horseman","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/terra-cotta-soldier/terra-cotta-horseman"
"6","8d10+20","64","+7","Terra-cotta Archer","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/terra-cotta-soldier/terra-cotta-archer"
"6","8d10+20","64","+7","Terra-cotta Soldier","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/terra-cotta-soldier"
"7","7d10+21","59","+4","Greater Tengu, Yamabushi","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/greater-tengu-yamabushi"
"1/2","1d8+1","9","+3","Tengu","http://www.d20pfsrd.com/bestiary/monster-listings/humanoids/tengu"
"15","16d10+144","232","-2","Tenebrous Purple Worm","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/tenebrous-purple-worm-tohc"
"8","10d10+50","105","+7","Tenebrous Worm","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/tenebrous-worm"
"6","9d8+36","76","+3","Tendriculos","http://www.d20pfsrd.com/bestiary/monster-listings/plants/tendriculos"
"6","6d10+12","45","+8","Temporal Crawler","http://www.d20pfsrd.com/bestiary/monster-listings/magical-beasts/temporal-crawler"
